headline,Body ID,Stance
daash ebola transferred to mosul google translate,2138,disagree
obama murder of james foley the conscience of the entire world,2130,unrelated
iraqi health official ebola has killed 5 isis fighters,1899,unrelated
popwatch teenager fights for the right to be recognized as teletubbies smiling,1331,unrelated
christian bale wo play steve jobs,1019,disagree
audio recording allegedly captures at least 10 shots fired in michael brown killing,1803,unrelated
11 aircraft are missing from tripoli airport ahead of anniversary,1372,disagree
nigeria boko haram blamed for raids despite truce claim,1027,discuss
mexico hit by student massacre at least 17 protesters up murdered and dumped in a mass grave and another 26 are missing,2334,discuss
nicaragua asks for help investigating meteorite crater,2264,discuss
conflicting reports on alleged is capture of canadian woman,2415,unrelated
new audio reveals pause in gunfire when michael brown was shot attorney,1804,unrelated
fbi probing alleged audio of michael brown shooting,1644,unrelated
actor has his testicles stolen after meeting blonde woman at a bar,477,unrelated
doubts cast over nicaragua meteorite claim,731,unrelated
that story about a catholic priest dying seeing god as a woman and coming back to life it almost definitely fake,1628,unrelated
app brush list actually do so sister you tired it,126,unrelated
lebanon detains wife and son of,651,unrelated
batmobile stolen in detroit good one joker,213,unrelated
weather reporter mike seidel was caught off guard on live tv and appeared to be urinating in the snow watch,1855,discuss
accused boston marathon bomber severely injured in prison may never walk or talk again,220,agree
elderly woman arrested for kidnapping neighbor cats making fur coats,568,unrelated
therefore the feminist blogger who aborted a boy probably fake,698,unrelated
nasty ios 8 bug could erase your icloud drive documents,2423,agree
pure evil islamic state beheads american journalist james wright foley,1040,unrelated
sick kansas city man said not to have ebola plans new steps to fight virus,2070,unrelated
lebanon detains wife and son of,720,agree
breaking news female american aid worker 26 held hostage by isis for 18 months has been in jordanian air strike,532,unrelated
will stop serving overweight customers,568,unrelated
isis claims it kidnapped gill rosenberg the first western woman to fall into the group hands,2067,unrelated
boko haram denies nigeria claim,2088,unrelated
at cbs detroit fan site is enough to publish batmobile rumor,702,unrelated
tropical spider burrowed under bali tourist skin,2459,unrelated
boko haram denies it has agreed ceasefire,1588,discuss
brian williams debunks peeing meteorologist report on nightly news video,2419,unrelated
who says reports of suspected ebola cases in iraq are untrue,950,unrelated
ottawa shooting slain soldier named as nathan cirillo while suspect identified as michael,1751,unrelated
iraqi and kurdish media reports cases of ebola among islamic state fighters in mosul,2388,unrelated
new audio allegedly captures moment michael brown was shot,359,unrelated
photo gallery amazing operation by north walsham vet on constipated goldfish,2045,unrelated
priest claim of seeing god as a woman dismissed as hoax,1407,disagree
ottawa shooting slain soldier named as nathan cirillo while suspect identified as michael,2002,unrelated
meteorite leaves crater in nicaraguan capital managua,731,unrelated
has this argentine woman fallen victim to a cruel online hoax adult video claiming to show teacher having sex with pupil is all it seems,1153,unrelated
isis claims female american hostage kayla mueller killed in airstrike,959,unrelated
two gop congressmen say suspected terrorists caught crossing border,2132,unrelated
cnn plays alleged audiotape of michael brown shootingmilitarization of police,1210,unrelated
soldier shot near canadian parliament building,1385,unrelated
does isis have an airforce terrorist pilots are being trained on captured migs by saddam hussein force officers,777,unrelated
cloistered nun gives birth to a baby the convent there is a sister google translate,706,discuss
married tv actor wakes up to find his testicles have been stolen after kissing young woman in sauna,2044,agree
breaking isis beheads american journalist james wright foley,1905,unrelated
is kim opening north korean restaurant in scotland,860,unrelated
is militant john named as mohammed emwazi from london,1543,unrelated
the image that everyone is sharing by is by banksy but it awesome,740,unrelated
isis executioner john identified as mohammed emwazi,2202,discuss
obama murder of james foley the conscience of the entire world,2386,agree
rebel leader killed in strike somali government,1936,unrelated
kidnapped nigerian schoolgirls government claims ceasefire deal with boko haram that will bring missing girls home,381,unrelated
the famous cesar millan died of a heart attack this morning,2096,unrelated
who isis does not have ebola but contingency plan being developed for iraq,2180,agree
weaponized ebola isis militants said to contract deadly virus,2078,unrelated
kim hospital with two fractured ankles after ballooning to around 20 stone and going on numerous the people walkabout pr stunts,1256,unrelated
unconfirmed reports claim gill rosenberg captured by isis,1240,unrelated
meteorite strikes nicaraguan capital creates crater,269,unrelated
nigerians doubtful of girls release after boko haram breached,2144,discuss
nigeria announces truce with boko haram fate of schoolgirls unclear,1630,discuss
breaking gill rosenberg former idf soldier was captured by isis,2302,discuss
boko haram claims to have german hostage denies ceasefire,2045,unrelated
journalist james wright foley reportedly beheaded by isis,1120,unrelated
ann arbor pizza delivery driver surprised with tip,1385,unrelated
isis video claims to show beheading of british hostage david haines,1360,unrelated
isis beheading of journalist james foley posted to youtube,1982,unrelated
nasa confirms earth will experience 6 days of total darkness in december 2014,487,unrelated
kim obese leader both ankles,1097,unrelated
nasty ios 8 bug could erase your icloud drive documents,1224,unrelated
woman reportedly kidnapped by isis jerusalem post,2445,unrelated
spider burrowed through tourist stomach and up into his chest,1375,unrelated
jinny abdel bary uk rapper suspected in james foley killing reports,2078,unrelated
isis releases youtube video showing allegedly killed in battle,2472,unrelated
video marine survives taliban sniper headshot thanks to helmet,2015,unrelated
met police denies reports of banksy arrest,1898,unrelated
islamic state militants have been flying 3 captured warplanes over syrian airport witnesses say,1606,discuss
is durex planning to release a pumpkin spice condom,1708,discuss
former pga tour player tiger woods suspended for drug test failure,922,unrelated
new audio shows michael brown was shot at 11 times,2403,unrelated
isis executioner john named by media,1308,unrelated
this boy nearly died now he has a superpower like marvel magneto,887,agree
an audio recording of the michael brown shooting has reportedly surfaced,1808,unrelated
update did make up this story about the web sheriff ben edelman sending racist emails,45,unrelated
soon marijuana may lead to ticket not arrest in new york,2163,discuss
nationwide turkey recall birds usda debunks the hoax,1435,unrelated
woman detained in lebanon is not isis leader wife says iraq,205,unrelated
hospital man not being treated for ebola in kansas city,2306,unrelated
tips for chinese choosing an english name,2443,unrelated
star wars vii for a new summer release date,1991,unrelated
spider burrowed into appendix scar crawled through wa man body,498,unrelated
this powerful cartoon about the charlie hebdo attack is not by banksy,1867,unrelated
isis beheads american journalist,826,unrelated
nicaragua meteorite experts attempt to understand whether mysterious meteorite fell from passing pitbull asteroid,1627,unrelated
watch naked airport worker walk through scanner in bizarre protest against guards,1385,unrelated
isis fighters contracted ebola,1615,discuss
dog found abandoned outside railway station with suitcase of his belongings,1642,agree
boko haram claims to have german hostage denies ceasefire,821,unrelated
senior western intelligence official confirms london rapper abdel majed abdel bary is a suspect in the foley killing,626,unrelated
jihadi john named as mohammed emwazi from west london,126,unrelated
confusion as cuba castro mourned instead of kenya fidel,2506,discuss
reports jihadists steal commercial jets raise fears,299,unrelated
boko haram ceasefire ignored as violence flares in borno state,1761,discuss
boko haram leader denies ceasefire deal says 200 abducted girls married off,2078,unrelated
says she aborted baby because it was a boy,614,unrelated
see it nbc meteorologist mike seidel appears to relieve himself during broadcast network says he was looking for phone,40,unrelated
report missing libyan jetliners raise fears of suicide airliner attacks on,2208,discuss
video marine survives taliban sniper headshot thanks to helmet,860,unrelated
missing libyan jetliners raise fears of terror attacks on,1083,unrelated
isis video shows execution of david cawthorne haines british aid worker,1301,unrelated
isis beheads kidnapped photojournalist james wright foley in horrific video message to the,879,unrelated
insurgents killed in nigeria despite alleged truce with boko haram,2463,discuss
straight from the pits of hell american journalist james foley reportedly beheaded by isis,513,unrelated
magic mushrooms found in queen elizabeth garden at buckingham palace,1223,agree
report isis leader abu bakr assassinated in airstrike,1473,discuss
wars the force awakens may get an early release,1169,unrelated
chinese is stripped naked and beaten senseless in backlash against booming country culture,1131,unrelated
chugging eggnog at office party lands man in hospital,220,unrelated
isis militants have contracted ebola iraqi kurdish media reports,2463,unrelated
isis unleash scorpion bombs in iraq,1474,agree
woman says she has been captured by isis,1319,unrelated
report nigerian woman quarantined in kc with symptoms video,1095,unrelated
iraqi health official ebola has killed 5 isis fighters,1291,unrelated
nasa questions whether crater in nicaragua caused by meteorite,373,unrelated
hoax alert father who has met god and thinks she a woman is made up just like god herself,2277,unrelated
lynch mob chop man penis off after catching him allegedly trying to rape teenager,1848,unrelated
michael phelps girlfriend says she was born a boy and reveals sex with olympian,1029,agree
fbi probing alleged audio of michael brown shooting,126,unrelated
categorically false dhs debunks fiction that isis attempted to cross the mexico border,226,unrelated
breaking soldier shot at national war memorial in ottawa,2044,unrelated
angry mob chops off man genitals with butcher knife for alleged rape attempt,1680,unrelated
apple watch smartwatch to ship 15 million units worldwide in 2015,406,discuss
luke somers sister says he was killed in failed yemen rescue attempt,634,unrelated
iraq us to probe isis chlorine attack on iraqi security personnel,2489,unrelated
hostage david haines murder pm says,1645,unrelated
pope francis turns out not to have made pets in heaven comment,2297,disagree
macaulay culkin has died despite what everyone is saying on facebook,1805,agree
update internet report of ebola outbreak in purdon not true,2248,unrelated
update soldier gunman who died in ottawa rampage identified,601,unrelated
isis getting ebola,936,discuss
obama murder of james foley the conscience of the entire world,7,unrelated
lynch mob use butcher meat cleaver to castrate rapist they caught attacking teenage girl in alleyway in indian city,2196,unrelated
boko haram release abducted schoolgirls as part of ceasefire agreement,1821,discuss
islamic state fighters training to fly captured jets watchdog,2362,unrelated
american predator drone circling islamic state stronghold,2443,discuss
dylan thomas finds tropical spider burrowed under skin,1602,discuss
speeding up for younger viewers,242,unrelated
sorry fido pope francis did not say our pets are going to heaven,227,unrelated
woman stays in kfc for a week to get over her,817,unrelated
catholic priest claims god is female after clinically dead experience,398,unrelated
isis fighters contracted ebola world health organisation investigating reports militants showed up at iraqi hospital with lethal disease,225,unrelated
watch us marine survives taliban sniper headshot in afghanistan,2046,agree
texas turkey farm contaminated with ebola over holiday turkeys infected,2171,unrelated
sugarhill gang rapper big bank hank dies at 57,2080,agree
utah man hospitalized after winning eggnog chugging contest,667,agree
anna wintour to work at new world trade center vogue office due to rat infestation,43,unrelated
in new york city marijuana may mean ticket not arrest,1920,discuss
report jetliners stolen from libya could be used to attack on,1197,discuss
spider burrowed through tourist stomach and up into his chest,730,unrelated
batmobile stolen in detroit good one joker,2519,agree
seven teenage girls get pregnant on school trip,612,unrelated
gill rosenberg canadian citizen reportedly captured by isis in syria,80,unrelated
ottawa shooting soldier shot at canada national war memorial,595,unrelated
new audio recording from ferguson may capture michael brown shooting,472,unrelated
somalia shebab chief ahmed abdi godane likely dead in us strike source,1024,unrelated
macaulay culkin dead hoax goes viral claims actor found dead in apartment,1752,agree
nigeria claims deal with boko haram on ceasefire kidnapped girls,1603,unrelated
comcast is threatening to cut off customers who use tor the web browser for criminals,1314,unrelated
ottawa investigates reports that isis has captured woman,1628,unrelated
has kim taken over for kim jong un sister assumes north korea state duties while brother undergoes medical treatment,706,unrelated
wife child of islamic state head abu bakr held in lebanon officials say,2042,unrelated
macaulay culkin victim of another online death hoax,722,unrelated
mohammed emwazi man identified as isis killer john was by mi5 while on safari holiday in africa in 2010,1256,unrelated
new audio reveals pause in gunfire when michael brown was shot attorney,2434,discuss
11 tripoli planes still missing sparks concerns,1372,disagree
is beheads briton david cawthorne haines threatens to execute another briton alan henning,1011,unrelated
pants on fire duncan hunter makes unconfirmed claim border patrol caught at least 10 isis fighters,1820,unrelated
missing libyan aircraft spark fears of attack in north africa,388,unrelated
report secret service lied about white house fence jumper,1488,discuss
isis supporters mourn death of fighter,847,unrelated
video purports to show beheading of american journalist,1347,unrelated
india rape crisis sees mob castrate alleged sex attacker in shocking scenes,1959,agree
best christmas present ever heartwarming moment app developer reveals to his parents he had paid off their mortgage,651,unrelated
tim cook reportedly showers with apple watch suggesting it waterproof,2330,unrelated
alleged audio of michael brown shooting does sound good for officer darren wilson,2403,unrelated
obama administration denies congressman claim that least ten isis fighters have been caught coming across the mexican border in texas,2266,discuss
see how this homeless man spends a hundred dollars and keep a tissue handy video,344,unrelated
us officials video shows american execution,938,unrelated
christian bale set to play steve jobs in forthcoming biopic of apple,1406,unrelated
did a meteorite impact in nicaragua over the weekend,524,unrelated
apple watch battery will require nightly charging,1898,discuss
nasa days of total darkness in december 2014 is a hoax,487,unrelated
bunbury local discovered a spider had burrowed under his skin on bali holiday,1689,unrelated
nigeria hopes for return of kidnapped schoolgirls rise after ceasefire reported,600,discuss
rumor seth rogen to appear as woz in sony steve jobs film,1058,unrelated
someone painted a graffiti dick on a million car,1144,discuss
robert plant literally ripped up an 800 million contract to reunite led zeppelin,1198,unrelated
militant group says it killed american journalist in syria,2047,discuss
ebola outbreak 2015 update isis fighters may have contracted deadly virus,2180,discuss
isis leader killed abu bakr reportedly killed by airstrike,2036,unrelated
isis kills 300 iraqi soldiers with chlorine gas shia mp,2024,unrelated
hope fades for girls release after boko haram breached,2144,discuss
amazon is going to open a physical store,941,discuss
ottawa investigates reports that isis has captured woman,2302,discuss
woman stays in kfc for a week to get over her,858,unrelated
islamic state training pilots in military jets monitors say,1939,unrelated
seven girls fall pregnant after five day school trip in bosnia and herzegovina,557,unrelated
isis beheads american journalist,2525,unrelated
boko haram could release kidnapped girls nigerian officials say,2144,discuss
jihadi john named as mohammed emwazi from west london,2317,unrelated
video shows isil beheading of photojournalist james foley,2115,unrelated
google grows with billion in california office deals,2078,agree
shocking photos mom tries to sell son to pay for daughter cancer treatment,524,unrelated
brian williams insists nbc news meteorologist did not pee in the snow while on air,527,unrelated
batman set to play steve jobs in upcoming biopic,574,unrelated
two gop congressmen say suspected terrorists caught crossing border,1946,discuss
breaking news isis beheads missing american journalist james wright foley as warning to us to cease action in iraq,1589,agree
isis video purports to show beheading of british aid worker,1097,discuss
james foley beheading london rapper turned jihadist believed to be under investigation for murder of journalist in syria,1649,unrelated
christian bale in talks to play steve jobs exclusive,574,unrelated
breaking news gunman dead after wounding soldier near canada parliament,964,unrelated
taliban member swapped by obama for bowe bergdahl tried to return to terror report,1565,discuss
that one way to get through security frustrated traveller strips completely naked at airport to pass through metal detectors,2410,unrelated
this kid made 72 million during lunch,643,unrelated
russian man wakes up to find his testicles have been stolen,693,unrelated
video marine survives taliban sniper headshot thanks to helmet,115,agree
cnn broadcasts purported audio containing gunshots that felled michael brown leaders celebrities fill pews at teen funeral,2403,unrelated
updated 11 men and 0 women on tonight espn domestic violence panel,2181,disagree
obama denounces james foley execution the entire world is appalled,1574,unrelated
weather reporter caught writing his name in the snow was not ready to go on camera updated,2034,disagree
no a spider did not burrow under a man skin and live there for days,724,unrelated
why the gold apple watch edition must cost,2211,unrelated
dylan thomas finds tropical spider burrowed under skin,214,unrelated
old lady arrested for making fur coats with neighbor cats,2451,agree
ottawa investigates reports that isis has captured woman,706,unrelated
government fires employee who skipped work for 24 years,2192,unrelated
mexican investigators fear mass grave might hold 43 missing students,324,unrelated
aaron sorkin confirms christian bale will play steve jobs,630,unrelated
woman may have been captured in syria reports,756,discuss
macaulay culkin dead actor is victim of another death hoax,1752,agree
alleged audio of michael brown shooting released,693,discuss
opposition group isis militants training to fly warplanes in syria,805,unrelated
did kim take kim jong un role north korea ill health rumors are,2048,discuss
is this proof of bigfoot new video shows giant hairy beast walking through forest,1651,unrelated
turkish leader says airdrop aided isis militants,1785,unrelated
pants on fire duncan hunter makes unconfirmed claim border patrol caught at least 10 isis fighters,1893,unrelated
is fighters seize weapons cache meant for kurds,2483,unrelated
michelle obama face blurred by saudi state television,1237,unrelated
jinny abdel bary uk rapper suspected in james foley killing reports,2528,discuss
small meteorite strikes nicaragua government says,714,unrelated
kim planning scottish restaurant,1644,unrelated
nasty ios 8 bug could erase your icloud drive documents,2061,unrelated
kurds fear isis use of chemical weapon in kobani,964,discuss
eyewitness says viral video of homeless man was staged,626,unrelated
report the apple watch will only last hours with heavy use,2123,unrelated
god is a priest who died for 48 minutes claims,740,unrelated
texas plumber baffled after truck ends up in the hands of syrian rebels,2280,discuss
islamic state claims to have beheaded american journalist,2495,discuss
islamic state releases video apparently showing the beheading of missing us journalist james foley,1011,discuss
isis militants claim to have killed us journalist james foley,2296,unrelated
updated 11 men and 0 women on tonight espn domestic violence panel,56,unrelated
sugarhill gang big bank hank dies,1107,unrelated
after giving a homeless man 100 this guy secretly filmed him,1388,discuss
nigeria boko haram blamed for raids despite truce claim,903,unrelated
magneto boy living magnet after getting massive electric shock from street lamp,1795,unrelated
scientists doubt that meteor caused crater in nicaragua,1744,unrelated
founding time capsule found in boston,419,unrelated
ios 8 bug could delete your icloud drive documents,2033,discuss
iraqi and kurdish media reports cases of ebola among islamic state fighters in mosul,2367,unrelated
hard evidence of isis claims it kidnapped woman gill rosenberg,693,unrelated
judd nelson death hoax fox news impersonator claims actor found dead in los angeles condo,35,unrelated
dogs do go to and cats and horses pope assures young boy that there is a place in paradise for animals as well,2002,unrelated
alleged audio of michael brown shooting does sound good for officer darren wilson,1289,unrelated
british hostage david haines beheaded by islamic state terrorists,1757,discuss
viral video of homeless man spending 100 on food for other homeless was faked witness says,564,unrelated
all dogs go to heaven pope francis confirms paradise is open to all of god creatures,289,agree
isis fighters contracted ebola,1385,unrelated
ann arbor pizza delivery driver surprised with tip,2122,agree
north korean leader kim not missing just having ankle surgery,1095,agree
apple watch battery will require nightly charging,1658,unrelated
breaking news isis beheads missing american journalist james wright foley as warning to us to cease action in iraq,7,unrelated
detroit police issue statement that the batmobile is safe,1751,agree
nun who gave birth to baby boy after suffering agonising stomach pains no idea she was pregnant,391,unrelated
dead for 48 minutes this catholic priest claims god is female,1877,unrelated
batman set to play steve jobs in upcoming biopic,571,unrelated
eyewitness says viral video of homeless man was staged,2240,unrelated
fidel castro is dead according to viral twitter rumors,2028,discuss
iphone 6 users encounter latest apple problem after,304,unrelated
james foley remembered as and tireless journalist,2070,unrelated
the internet tried to make axl rose its latest death hoax victim,1351,unrelated
new audio recording from ferguson may capture michael brown shooting,132,unrelated
macaulay culkin dead the death hoax is once again on the child actor,1012,unrelated
chinese state media warns people to stop calling themselves dumbledore,320,unrelated
isis kills 300 iraqi soldiers with chlorine gas shia mp,1267,unrelated
saudis say michelle obama not blurred on tv,1342,unrelated
no a spider did not burrow under a man skin and live there for days,1500,unrelated
vice media chief said to pay for dinner for 30,1077,discuss
nicaragua meteorite impact theory may be,1744,unrelated
isil video claims beheading of kidnapped journalist james foley,1009,unrelated
bugatti veyron vandalized with penis graffiti viral photo is what it seems,442,unrelated
who isis does not have ebola but contingency plan being developed for iraq,2177,unrelated
nasa questions whether crater in nicaragua caused by meteorite,2307,unrelated
audio recording allegedly captures moment michael brown was shot,1564,discuss
british man slaps people if they sneeze in public,1155,agree
isis militants claim to have killed us journalist james foley,2526,unrelated
this powerful cartoon about the charlie hebdo attack is not by banksy,295,unrelated
six months after abducting nigerian schoolgirls boko haram reportedly wants to free them,1295,unrelated
christian bale in talks to play steve jobs in danny boyle biopic,296,unrelated
nigeria announces truce with boko haram fate of schoolgirls unclear,2088,unrelated
islamist militants 11 commercial planes in libya sparking terror attack fears,1165,discuss
boko haram could release kidnapped girls nigerian officials say,2022,unrelated
tbs is probably speeding up reruns to fit in more commercials,205,unrelated
angry mob chops off man genitals with butcher knife for alleged rape attempt,1291,unrelated
magic mushroom found growing at buckingham palace,1184,unrelated
woman reportedly kidnapped by isis jerusalem post,1459,unrelated
kim jong un hospitalized with two broken ankles reportedly from wearing heels and being overweight,2042,unrelated
michael brown shooting audio caught on tape,483,discuss
new audio recording from ferguson may capture michael brown shooting,2234,unrelated
managua explosion not a meteorite nasa suggests,345,unrelated
russian man wakes up to find his testicles have been stolen,1015,unrelated
white house fence jumper pushed past female guard,663,agree
apple watch battery life currently a day but may improve for 2015 launch,1746,unrelated
isis beheads photojournalist james wright foley in a massage to us to end its intervention in iraq,1116,discuss
why the gold apple watch edition must cost,645,discuss
media outlets identify john,1939,discuss
nicaraguan commission on possible meteorite crash presents rock samples,40,unrelated
give a homeless man 100 and see what he does with it video,1934,unrelated
isis militants have contracted ebola iraqi kurdish media reports,527,unrelated
government fires employee who skipped work for 24 years,1921,unrelated
report nigerian woman quarantined in kc with symptoms video,51,discuss
gill rosenberg former idf soldier possibly captured by isis while fighting with kurds,1224,unrelated
zack snyder v superman dawn of justice stolen batmobile rumor put to rest,1311,unrelated
isis syria news video shows us airdropped weapons and grenades by islamic state,2397,discuss
world oldest burger,1183,unrelated
report 4 isis terrorists caught at southern border in 36 hrs,972,unrelated
seven girls as young as 13 become pregnant on a school trip,2097,agree
rajasthan angry mob teaches rapist a lesson chops penis off,2106,unrelated
experts more facts needed on purported audio recording of michael brown shooting,1438,unrelated
video shows isil beheading of photojournalist james foley,1747,agree
isis video america air dropped weapons now in our hands,816,unrelated
ottawa shooting soldier shot at canada national war memorial,1125,unrelated
report a radically redesigned macbook air is coming,1344,discuss
weather reporter mike seidel was caught off guard on live tv and appeared to be urinating in the snow watch,1169,unrelated
once again the banksy is a giant hoax repeat a hoax,295,unrelated
guantanamo detainee freed in bowe bergdahl swap to terrorism,615,unrelated
london artist abdel bary key suspect in hunt for killer of american journalist james foley,633,unrelated
breaking isis beheads american journalist james wright foley,1295,unrelated
this woman exposed her cheating boyfriend with a brilliant christmas gift,2022,unrelated
tiger woods former luxury island goes on sale,84,unrelated
cloistered nun gives birth to a baby the convent there is a sister google translate,699,unrelated
christian bale in talks to play steve jobs exclusive,205,unrelated
pizza delivery man gets tip,1820,unrelated
feminist aborts baby for being a boy shocked people do approve,447,discuss
air travelers wary of ebola fears seen with surgical masks and a hazmat suit,1178,unrelated
priest who died for 48 minutes says he met god and she a woman,1120,unrelated
seth rogen to play woz in jobs biopic,1073,unrelated
this is a truly horrifying story about a spider,1375,unrelated
media outlets identify john,503,unrelated
rare case seven bosnian girls aged 13 and 14 fall pregnant after school trip parents outraged after school cites neglect,1358,unrelated
google said to buy six silicon valley buildings for 585 million,1572,unrelated
this is a truly horrifying story about a spider,2042,disagree
lebanon is leader daughter and,2080,unrelated
homeless man who received a meal and hotel stay after spending 100 donation on food for friends insists it was not a hoax despite new witness insisting there was no way he could have been secretly filmed,1940,unrelated
video purports to show beheading of journalist by militants,1721,discuss
pga spokesman and tiger woods agent deny drug suspension allegations,2330,agree
sons of anarchy movie no kurt sutter announces charlie hunnam brad pitt film article is fake,186,unrelated
british aid worker david haines beheaded by isil,2348,agree
apple watch stainless steel variant reportedly priced at 500 for the gold variant,10,unrelated
dog abandoned at railway station with suitcase set for happy ending as offers pour in,2307,unrelated
shots heard in alleged brown shooting recording audio,1921,unrelated
kim yo jong kim sister takes control of north korea while brother gets treatment,1634,unrelated
categorically false dhs debunks fiction that isis attempted to cross the mexico border,1483,unrelated
meteor leaves crater near managua airport,601,disagree
jilted lover spends a week in kfc to try and get over her ex,2061,unrelated
more than 200 kidnapped nigerian girls to be released after deal reached with boko haram,2192,unrelated
islamic state militants claim to have beheaded us journalist james wright foley,1786,unrelated
pumpkin spice condoms could be the only thing to save the world from basic children,2269,discuss
christian bale exits steve jobs movie exclusive,1077,unrelated
canada probes michael as possible suspect in ottawa shooting source,1178,discuss
tiger woods ped pga tour suspension allegations retracted by dan olsen,714,unrelated
watch twitter catches fire amid rumors of fidel castro death,2268,unrelated
macaulay culkin has died despite what everyone is saying on facebook,195,unrelated
has this argentine woman fallen victim to a cruel online hoax adult video claiming to show teacher having sex with pupil is all it seems,379,discuss
dna tests prove lebanon is holding isis chief and daughter after they were caught with fake passports,2155,discuss
is no limit to their depravity islamic state feed mother her own son,2526,unrelated
tropical spider under man skin through scar video report,2297,unrelated
it was me student 19 reveals she was the teletubbies giggling baby in the sky and was paid just and a box of toys,837,unrelated
chinese advised to choose names to get ahead,483,unrelated
audio recording of michael brown being gunned down was made at the time he was killed app company appears to confirm tape of eleven bullets being fired including final volley of shots,1921,unrelated
government fires employee who skipped work for 24 years,1242,unrelated
anna wintour is rat infestation at nyc office kim kardashian fault,1933,unrelated
obama denounces james foley execution the entire world is appalled,1744,discuss
boko haram denies it has agreed ceasefire,1196,unrelated
james wright foley kidnapped journalist apparently executed by isis,533,unrelated
has the batman superman batmobile been stolen in detroit,1439,unrelated
norfolk man pays for his constipated goldfish to have lifesaving surgery,1707,agree
misinformation brian williams explains the mike seidel liveshot,572,unrelated
saddam hussein pilots training islamic state group,1337,unrelated
judd nelson rebuffs internet rumors that he died of a drug overdose,1875,unrelated
mexico says missing students not found in first mass graves,761,unrelated
dog abandoned at railway station with suitcase set for happy ending as offers pour in,269,unrelated
six months after abducting nigerian schoolgirls boko haram reportedly wants to free them,206,unrelated
ottawa shooting slain soldier named as nathan cirillo while suspect identified as michael,1739,unrelated
hbo and apple in talks for apple tv streaming service launching in april,727,discuss
fidel castro rumors sweep internet but no sign in cuba,2458,unrelated
small meteorite strikes nicaragua government says,1347,unrelated
did a meteorite impact in nicaragua over the weekend,534,unrelated
islamic state flying three jets in syria monitor,2035,unrelated
islamic state killer john named as mohammed emwazi,390,discuss
hostage david haines murder pm says,787,unrelated
sick kansas city man said not to have ebola plans new steps to fight virus,26,unrelated
seven teenage girls get pregnant on school trip,208,unrelated
isis leader in us airstrikes,1179,unrelated
paul rudd helped tackle a violent homophobe so that another reason to love him update,1647,unrelated
contest leads to hospital stay,2440,unrelated
dhs rebuffs congressman claim isis infiltrating southern border,2266,discuss
airport worker strips naked at security scanner in protest against guards,321,unrelated
isis reportedly beheads american photojournalist in iraq,938,unrelated
rebel leader killed in strike somali government,1921,unrelated
return of the mac seth rogen in talks to star as apple steve wozniak in upcoming steve jobs biopic,7,unrelated
amazon is opening its first physical store,2116,discuss
forget gold apple watch edition could use platinum report,478,discuss
boko haram denies nigeria claim,1003,unrelated
was nbc meteorologist mike seidel peeing in the snow on camera a testy brian williams explains,984,discuss
spider burrowed into appendix scar crawled through wa man body,1860,agree
this dog was left at a railway station with a suitcase of his belongings after he was sold on gumtree,1214,agree
reports boko haram may release schoolgirls as part of deal,304,unrelated
us lawmaker ten isis fighters have been apprehended coming across southern border video,2141,unrelated
rajasthan man tries to rape teenager angry mob chops his penis off,1760,unrelated
apple watch developers told to limit features to save battery life,1025,discuss
christian bale in talks to play steve jobs in danny boyle biopic,217,unrelated
made it farther in white house than secret service let on,2409,discuss
yum serving up marijuana fried chicken,1360,agree
iraqi and kurdish media reports isis fighters have contracted ebola,2197,unrelated
rajasthan angry mob teaches rapist a lesson chops penis off,36,unrelated
breaking news photojournalist held hostage by killed in failed rescue attempt in yemen,1844,discuss
oscar winner christian bale to play steve jobs in upcoming biopic,571,unrelated
woman ting su finds husband cheating with her own twin gets spectacular revenge,388,unrelated
report a radically redesigned macbook air is coming,2509,unrelated
texas plumber truck spotted in syria have nothing to do with terror at all,1438,unrelated
reports jihadists steal commercial jets raise fears,1083,unrelated
jinny abdel bary uk rapper suspected in james foley killing reports,1506,unrelated
analyst apple watch edition could cost,1447,discuss
nyc high school student nicknamed wolf made 72 million on stock market,321,unrelated
banksy real identity revealed is the same hoax from last year,2034,unrelated
watch moment tv weatherman is caught urinating in the bushes live on camera,1299,unrelated
us drones hunting for isis leader seen flying over syrian airspace,909,unrelated
emotional is greeted back to parliament with a rousing standing ovation a day after he heroically shot dead terrorist the first time he used weapon in 30 year career,1574,unrelated
saudi cleric issues fatwa against building snowmen,1498,discuss
report alleged new audio of michael brown shooting,2317,discuss
audio recording allegedly captures at least 10 shots fired in michael brown killing,321,unrelated
canseco accidentally shot at his home tonight,2266,unrelated
isis militants have contracted ebola iraqi kurdish media reports,1821,unrelated
tbs speeds up seinfeld a full percent here is the proof,1372,unrelated
no that high school kid did make 72 million trading stocks,2052,agree
vogue new digs are reportedly swarming with rats,1585,unrelated
big bank hank of the sugarhill gang is dead at 57,2118,unrelated
thanks uncle sam we have your weapons airdrop isis taunts america over intercepted weapons meant for kurds,591,unrelated
tiger woods serving secret ped suspension,2330,discuss
islamic state leader family detained by lebanon officials say,1943,unrelated
mum offers to sell twin boy to save twin girl,1574,agree
michael phelps alleged girlfriend says she was born intersex,1781,unrelated
high school student scores 72m playing the stock market,409,unrelated
saudi arabia over building of snowmen,1130,unrelated
mass graves found in mexico near place where 43 students went missing,777,discuss
purported isis claim jordan airstrike kills female us hostage,1588,unrelated
report of quarantined texas town not real shared on a news website,1383,unrelated
